iteration,cost
1475,1.726813
1476,1.743842
1477,1.743432
1478,1.742343
1479,1.739674
1480,1.748853
1481,1.743590
1482,1.732220
1483,1.742361
1484,1.736596
1485,1.763599
1486,1.740624
1487,1.735632
1488,1.738394
1489,1.726387
1490,1.725791
1491,1.743122
1492,1.729929
1493,1.722032
1494,1.742717
1495,1.721229
1496,1.739197
1497,1.734820
1498,1.722882
1499,1.726450
1500,1.712671
1501,1.746033
1502,1.742940
1503,1.724699
1504,1.744422
1505,1.745783
1506,1.714502
1507,1.721751
1508,1.735931
1509,1.744399
1510,1.712208
1511,1.720904
1512,1.718433
1513,1.746754
1514,1.747803
1515,1.715852
1516,1.714510
1517,1.723395
1518,1.731934
1519,1.738318
1520,1.733111
1521,1.735659
1522,1.739146
1523,1.727366
1524,1.718685
1525,1.723901
1526,1.728714
1527,1.744221
1528,1.712518
1529,1.722545
1530,1.735121
1531,1.728005
1532,1.734596
1533,1.732142
1534,1.748724
1535,1.722945
1536,1.724296
1537,1.735918
1538,1.739593
1539,1.736056
1540,1.709571
1541,1.721101
1542,1.719161
1543,1.727292
1544,1.706890
1545,1.733660
1546,1.720549
1547,1.724721
1548,1.716151
1549,1.717706
1550,1.751690
1551,1.730543
1552,1.730930
1553,1.745834
1554,1.717680
1555,1.734124
1556,1.733918
1557,1.737565
1558,1.725517
1559,1.710976
1560,1.716167
1561,1.726330
1562,1.713687
1563,1.717010
1564,1.728187
1565,1.723210
1566,1.715525
1567,1.729221
1568,1.714267
1569,1.722628
1570,1.713867
1571,1.719431
1572,1.708451
1573,1.718666
1574,1.712052
1575,1.714425
1576,1.724645
1577,1.713421
1578,1.713496
1579,1.712830
1580,1.725522
1581,1.728901
1582,1.709353
1583,1.715115
1584,1.739100
1585,1.717331
1586,1.706151
1587,1.705082
1588,1.710153
1589,1.717108
1590,1.718881
1591,1.729504
1592,1.699657
1593,1.705484
1594,1.703423
1595,1.718425
1596,1.734749
1597,1.714819
1598,1.713302
1599,1.715776
1600,1.739937
1601,1.721636
1602,1.698325
1603,1.729644
1604,1.726265
1605,1.723576
1606,1.717308
1607,1.722401
1608,1.694351
1609,1.710123
1610,1.736673
1611,1.722875
1612,1.711099
1613,1.715867
1614,1.717018
1615,1.717431
1616,1.739867
1617,1.712558
1618,1.714024
1619,1.707553
1620,1.730341
1621,1.712282
1622,1.706233
1623,1.700108
1624,1.713080
1625,1.710954
1626,1.704796
1627,1.697485
1628,1.713074
1629,1.718737
1630,1.716872
1631,1.713611
1632,1.713683
1633,1.701522
1634,1.721574
1635,1.699523
1636,1.700866
1637,1.709434
1638,1.711186
1639,1.726943
1640,1.700912
1641,1.712816
1642,1.708050
1643,1.711860
1644,1.710395
